our_hotel_id,name,review_score,stars,latitude,longitude,room_count
3169410,Hotel Indigo Brussels - City,8.4,4,50.8557112444,4.35967862606,283
3162064,Facade Hotel Amsterdam,7.6,2,52.3749663008953,4.89931963384151,30
8482738,Chasse Hotel,8.7,4,52.369583153206,4.8613953981129,37
3169579,Hotel Le Châtelain,8.9,5,50.8261027976797,4.3637689948082,107
3922332,The Student Hotel Amsterdam City,8.7,4,52.3545938706784,4.91263214907383,200
3169712,NH Brussels Airport,8.3,4,50.8892907965918,4.44700866937637,234
7532176,Hotel TWENTY EIGHT,9.3,4,52.3444846175301,4.85824584418026,56
3162423,Avenue Hotel,7.3,3,52.3766373025,4.89465594292,82
3162875,Lloyd Hotel,8.0,3,52.374326866107,4.93480324745178,117
3227893,Aparthotel Adagio Brussels Grand Place,8.5,3,50.8500217023375,4.35165345668793,140
3169704,Hotel De Fierlant,8.2,3,50.8259952102953,4.33137327432632,40
8870855,citizenM Amstel Amsterdam,9.1,4,52.3608908,4.9064554,215
3230252,Amistad hotel,8.7,2,52.3655809907897,4.88503888249397,7
8860197,Hotel van de Vijsel,8.6,4,52.3633819,4.8781341,82
3891467,Hôtel Belvue,7.4,3,50.8511012597941,4.33534174907379,29
3290986,DoubleTree by Hilton Amsterdam Centraal Station,8.2,4,52.3767126229996,4.90566909313202,557
3167907,Prinsenhotel,8.1,3,52.36242645,4.87765945494,45
3334372,Holiday Inn Express Amsterdam - Sloterdijk Station,8.1,3,52.3882024042909,4.83745515346527,254
3162255,Ramada by Wyndham Amsterdam Airport Schiphol,8.0,4,52.3333518196792,4.77206893265247,222
3169598,DC Hotel & Restaurant Brussels South,7.9,3,50.8107610451567,4.30250063538551,78
3408768,Amsterdam ID Aparthotel,8.6,3,52.3874575747,4.83446717262,94
3170573,Hotel Noga,8.6,3,50.8534956228,4.34836640954,19
16424438,Adagio Access Brussels Delta,8.2,3,50.81805,4.402559,
3170309,YOOMA BW Premier Collection (Ex. Be Manos),8.6,4,50.84078657,4.33873326,60
3169556,Sofitel Brussels Le Louise,8.2,5,50.8362284561776,4.35718953609467,169
8867398,Harmon House,8.8,4,50.83068,4.35646,27
7532372,Hyatt Regency Amsterdam,8.8,5,52.361798,4.911744,211
9082031,Qbic Hotel Brussels,8.7,4,50.828137,4.36487,148
3224920,Acostar Hotel,-1.0,,52.3652436,4.88576844335,30
3169462,Thon Hotel Brussels Airport,7.7,3,50.8845868175417,4.44415748119354,100
3162637,Hilton Amsterdam,8.2,5,52.3512961323461,4.87206369638443,271
3169442,Maxhotel,8.1,1,50.8541373765,4.35653306544,63
3432186,Fletcher Hotel Amsterdam,7.4,4,52.2944386033,4.94534432888,120
3162350,Best Western Dam Square Inn,7.9,3,52.3743170411725,4.8927703499794,38
3162202,Hotel Estheréa,9.2,4,52.3704728678235,4.88849088549614,71
3162346,NH Amsterdam Caransa,8.1,4,52.3664514799061,4.89692106842995,66
3406372,ibis budget Amsterdam Airport,8.6,2,52.3249338946287,4.79383707046509,200
3162193,Hotel De Looier,6.7,3,52.3682767489935,4.87965233623981,28
3170452,B-aparthotel Montgomery,7.3,4,50.837417572915,4.40611839294434,34
3169958,Citadines Sainte Catherine Brussels,8.4,3,50.8529122796,4.34777967632,169
3170500,Brussels Marriott Hotel Grand Place,-1.0,,50.848710977329,4.34807538986206,221
3166752,Frisco Inn,7.5,2,52.3751423280531,4.89717587828636,11
3162485,Pulitzer Amsterdam,9.1,5,52.3728236257,4.88328203559,225
3162729,Steigenberger Airport Hotel Amsterdam,8.5,4,52.3086622953612,4.8104453086853,440
3169418,pentahotel Brussels City Centre,8.2,4,50.8309710792,4.35643047094,202
3169428,Novotel Brussels Airport,8.2,3,50.8929622774915,4.46207463741302,209
3162154,"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",8.4,4,52.3485731229,4.88510727882,223
3162083,Alp de Veenen Hotel,8.0,3,52.3005258924,4.85234677792,25
3162126,Leonardo Boutique Museumhotel,8.4,3,52.3612528575306,4.88415978848934,188
3169416,Gresham Belson Hotel Brussels,8.0,4,50.8593083363,4.41405370831,135
12112537,Hotel Mai Amsterdam,8.7,4,52.375443800000014,4.9014457999999994,
3169435,NH Brussels Louise,7.7,4,50.8329412885279,4.35687437653542,246
3162491,InterContinental Amstel Amsterdam,8.7,5,52.3600415594456,4.90546524524689,79
3162792,Pillows Luxury Boutique Hotel Anna Van Den Vondel Amsterdam,9.4,4,52.3607622817121,4.86957427114248,38
3169497,ibis Hotel Brussels Centre Gare du Midi,7.9,3,50.8360387367,4.33861792088,225
4344987,Hilton Amsterdam Airport Schiphol,8.8,4,52.30702764,4.755927093,433
3162265,Park Centraal Amsterdam,8.6,4,52.3615931452,4.88302554935,189
3227921,Vintage Hotel Brussels,8.5,3,50.8334715198,4.35561642051,29
3162330,Apollofirst Boutique Hotel,8.7,4,52.3504687615,4.87564578652,40
3340951,Conservatorium Hotel,9.1,5,52.3585869751,4.87848825753,129
3691493,Holiday Inn Amsterdam - Arena Towers,8.1,4,52.3096565954741,4.94188032142642,120
3162462,Hotel The Neighbour's Magnolia,8.3,3,52.3555212162,4.86913740635,21
7531552,Yadoya Hotel,8.3,3,50.8571431674216,4.35087963158537,73
3648728,Hotel De Hallen,8.7,4,52.3679311039,4.86726351042,58
3607701,Mercure Hotel Brussels Centre Midi,7.8,4,50.8392882040652,4.33850028364759,72
3162482,Park Plaza Vondelpark Amsterdam,8.8,4,52.3542499654985,4.86642569303513,138
3162196,Hotel Die Port van Cleve,8.5,4,52.3740124671,4.8907533288,122
9590761,Cityden Amsterdam West,8.5,4,52.37672,4.8446349999999994,
3247750,The Muse Amsterdam - Boutique Hotel,8.4,3,52.3531064639,4.88112151623,36
8770352,Holiday Inn Express Amsterdam - City Hall,8.6,3,52.370508,4.90835,
3163182,XO Hotel Inner,8.2,3,52.3569550152757,4.87741805613041,81
3170349,Gosset Hotel,7.6,3,50.8724507275,4.27287697792,48
3169387,Best Western Plus Park Hotel Brussels,8.1,4,50.8415775491673,4.39637124538422,52
3169760,Holiday Inn Brussels Schuman,-1.0,,50.8407247503804,4.38382118940353,62
3386670,Hotel Vossius Vondelpark,7.6,3,52.3612061752581,4.88160029053688,40
3165362,XO Hotels Blue Square,7.9,3,52.378586588,4.82055857778,175
3598103,Hyatt Place Amsterdam Airport,8.5,4,52.2935396279,4.71597522497,330
3162271,De L’Europe Amsterdam – The Leading Hotels of the World,9.1,5,52.36763886,4.89420533,111
3162414,NH Collection Amsterdam Flower Market,8.6,4,52.3664613065903,4.89308416843414,218
3171891,Radisson RED Brussels,8.5,4,50.8374522973786,4.37222197651863,149
3162224,Best Western Amsterdam,7.8,3,52.3489040873,4.84242528677,232
3170390,Hotel Taormina Brussels Airport,8.2,3,50.8774504145013,4.50448170304298,28
7638365,Park Inn by Radisson Amsterdam City West,8.3,4,52.39019,4.84177,476
3162293,Best Western Plus Amsterdam Airport Hotel,7.6,4,52.2904956078512,4.72543269395828,195
3169499,ibis Hotel Brussels Airport,7.2,3,50.8814113,4.4371811,98
3680268,Holiday Inn Express Amsterdam Arena Towers,8.1,3,52.3095778808935,4.94186959259036,323
3162417,Albus Hotel Amsterdam City Centre,8.6,4,52.3658143785,4.89314317703,75
3163241,Belfort Hotel,6.2,3,52.3576746,4.8507241,35
9140923,YOTEL Amsterdam,8.2,4,52.392,4.903,202
3169496,ibis Hotel Brussels off Grand'Place,8.4,3,50.8467515949131,4.35526907444,184
3170029,Martin's Brussels EU,8.3,4,50.845597011,4.38235603273,100
3170009,Hotel Euro Capital Brussels,7.7,3,50.8367738953,4.33957546949,41
3162464,Hotel Piet Hein,7.4,3,52.3601988089,4.87780161202,81
3162421,Ibis Schiphol Amsterdam Airport,8.1,3,52.3249142228,4.79387998581,644
3248030,The Pantone Hotel Brussels,8.0,3,50.8318367617855,4.35326881706715,61
3169443,Warwick Brussels - Grand Place,8.3,5,50.8451376251997,4.35440674424171,267
3163296,XO Hotels Blue Tower,7.8,4,52.3793250181,4.84565332532,186
3468465,ibis Budget Brussels South Ruisbroek,7.2,1,50.7932271336519,4.29987072944641,124
3299098,XO Hotels Van Gogh,8.2,3,52.3590558708137,4.88014921545982,49
3162564,NH Amsterdam Museum Quarter,8.1,4,52.3557710388443,4.88620162010193,163
4359518,CityHub Amsterdam,9.1,,52.3673431035,4.86718226991,50
3162349,NH City Centre Amsterdam,8.3,4,52.3697220072633,4.88877788186073,213
3365792,MEININGER Hotel Amsterdam City West,8.2,3,52.390589,4.837452,219
3162327,NH Collection Amsterdam Grand Hotel Krasnapolsky,8.8,5,52.3726958970434,4.89426165819168,468
8820354,Hotel Hubert Grand Place,8.9,4,50.84832152,4.35623122,100
3169580,Hotel Novotel Brussels Off Grand Place,-1.0,,50.8463036519389,4.35497939586639,140
3722092,XO Hotels Couture,8.8,4,52.3511038699,4.84125409511,158
9048067,Leonardo Royal Hotel Amsterdam,8.6,4,52.332426,4.917847,490
3284517,The Manor Amsterdam,8.4,4,52.3590874,4.92611088,125
3169582,Hotel Floris Hotel Ustel Midi,7.2,3,50.8405469055709,4.33961972594261,114
3162115,Bilderberg Garden Hotel,8.0,5,52.3513157924539,4.87409010529518,124
3162122,Conscious Hotel Museum Square,8.9,4,52.3554163721413,4.87812280654907,36
3169659,Hotel Avenue Louise Brussels Trademark Collection by Wyndham,7.7,4,50.8305094316527,4.35927897691727,80
3315914,Hotel Corner House,7.5,1,52.3742711914492,4.89150166511536,20
3162296,Bastion Hotel Amsterdam Zuidwest,7.3,3,52.357534501,4.8437422514,90
3162690,Botel,7.5,3,52.4006874789255,4.88932371139526,175
3291521,Hotel The Lodge Vilvoorde,8.2,3,50.9257271491715,4.41924780607224,56
3162331,Mercure Hotel Amsterdam Centre Canal District,8.1,4,52.3609432794344,4.89344626665115,93
3162071,NH Amsterdam Noord,8.3,4,52.3921931674547,4.91089671850204,290
3162782,Max Brown Hotel Canal District,8.4,3,52.3788935865,4.89205554128,34
3162926,ibis Styles Amsterdam Central Station,7.9,3,52.378026617309,4.89659920334816,77
5260685,Zoku Amsterdam,9.0,4,52.3637632153,4.9066177,133
3162351,Amsterdam Tropen Hotel,7.6,3,52.3617671782,4.92260456085,80
3169959,Citadines Toison d’Or Brussels Aparthotel,8.3,3,50.8348224813,4.35383409262,153
3922352,Motel One Amsterdam,8.9,3,52.3389789,4.8925746,320
