our_hotel_id,arrival_date,lead_time,room_name,meal_type_included,max_persons,price_value_ref,price_value_non_ref,is_sold_out
12112537,2021-01-23,1,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-24,2,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-25,3,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-26,4,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-27,5,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-28,6,Small Double Room,NONE,2,65,58.5,false
12112537,2021-01-29,7,Small Double Room,NONE,2,75,67.5,false
12112537,2021-01-30,8,Small Double Room,NONE,2,75,67.5,false
12112537,2021-01-31,9,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-01,10,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-02,11,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-03,12,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-04,13,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-05,14,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-06,15,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-07,16,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-08,17,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-09,18,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-10,19,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-11,20,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-12,21,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-13,22,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-14,23,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-15,24,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-16,25,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-17,26,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-18,27,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-19,28,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-20,29,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-21,30,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-22,31,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-23,32,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-24,33,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-25,34,Small Double Room,NONE,2,65,58.5,false
12112537,2021-02-26,35,Small Double Room,NONE,2,75,67.5,false
12112537,2021-02-27,36,Small Double Room,NONE,2,75,67.5,false
